x_1_2,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9
9685,,6,,,,,,
NAME,,DESCRIPTION,parental,parental2,lm21,lm22,lm23,lm24
202391_at,'GCC2',na,7020.2,7345.3,5123.5,4094.9,4058.3,5585.1
202393_s_at,'SERPINA1',na,839,867.7,1848.7,1787.1,1393.2,1859
202394_s_at,'TXNL4A',na,580.5,624.5,535.7,547.6,600,527.7
202395_at,'FUCA1',na,1141.3,1069.6,1022.3,972.5,1205,1320.7
202396_at,'NDUFB7',na,696.8,713.7,722.3,954.4,771.9,724.4
202397_at,'TAF15',na,2834.7,2953.4,1833.7,2049,2189.2,1943.4
202399_s_at,'OGFR',na,812.9,756.5,958.3,1039.7,874.5,700.6
202401_s_at,'DNAJB9',na,508.9,555.4,374.7,412.7,389.1,518.4
202402_s_at,'DNAJB9',na,626.9,550.3,789.5,796.5,890.8,763.3
202405_at,'RALBP1',na,334.3,306.6,323,254.4,327.8,459.9
202406_s_at,'RALBP1',na,1703.1,1732.3,1846.2,1253.8,1751.3,2241.1
202407_s_at,'PIGC',na,489.4,547.6,439,452,555.7,464.1
202408_s_at,'PCK2',na,808.5,1248.7,1202.5,1305.9,1231.2,1277
202411_at,'ABCD3',na,1700.6,1501.3,789.5,206.1,391.3,589.7
202412_s_at,'AAGAB',na,912.2,1007.9,1172,1170.1,1163,1453.6
202413_s_at,'RYK',na,3567.3,3695.4,3689.6,4628.1,4541.2,4531.7
202414_at,'HPRT1',na,271,230.3,259,226.4,290.7,179.4
202415_s_at,'SLC16A3',na,720.1,610.7,761.5,786.5,814.5,767.7
202416_at,'SLC16A3',na,856.5,884,1083,1229.9,1330.5,992.9
202417_at,'CNPY2',na,1166.1,1098.3,931,915.5,845.4,1250.2
202418_at,'U2AF1 /// U2AF1L5',na,1442.2,1190.5,990.2,1122.5,1033.3,1169.4
202419_at,'CXCL8',na,661.3,722.6,727.7,479.7,348.2,643.3
202420_s_at,'DENND4B',na,1416.6,1250.9,843.3,1352.1,998.7,1461.8
202421_at,'FAH',na,150.3,165.6,252.7,272.3,194.9,229
202422_s_at,'SP100',na,357.2,277.3,518.2,488,398.2,333.4
202423_at,'SP100',na,1022.8,1216.8,933.7,1071.9,895,1069.9
202424_at,'DNAJB12',na,2863.7,3450.1,3241,3681,3745.7,2844.8
202425_x_at,'POP4',na,946.3,1002,877.6,1106.8,879.6,862.9
202426_s_at,'CDC20',na,196.3,152,149.5,205.7,190.9,139.1
202427_s_at,'ATP6V1C1',na,1551.4,1459.1,1258.4,1354.5,1189.1,1127.3
202428_x_at,'ATP6V1C1',na,8132.3,5900.5,4413.3,4833.9,6394.1,4400.5
